1770817878.184986 server started (33611): version 3.6a, socket /tmp/tmux-1000/default, protocol 8
1770817878.185000 on Linux 6.6.87.2-microsoft-standard-WSL2 #1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025
1770817878.185005 using libevent 2.1.12-stable poll
1770817878.185010 using utf8proc 2.11.2
1770817878.185011 using ncurses 6.5 20240427
1770817878.185052 input_key_build: 0x10e003 (PasteStart) is \033[200~
1770817878.185054 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1770817878.185055 input_key_build: 0x10e25b (F1) is \033OP
1770817878.185057 input_key_build: 0x10e25c (F2) is \033OQ
1770817878.185058 input_key_build: 0x10e25d (F3) is \033OR
1770817878.185060 input_key_build: 0x10e25e (F4) is \033OS
1770817878.185061 input_key_build: 0x10e25f (F5) is \033[15~
1770817878.185063 input_key_build: 0x10e260 (F6) is \033[17~
1770817878.185064 input_key_build: 0x10e261 (F7) is \033[18~
1770817878.185066 input_key_build: 0x10e262 (F8) is \033[19~
1770817878.185067 input_key_build: 0x10e263 (F9) is \033[20~
1770817878.185068 input_key_build: 0x10e264 (F10) is \033[21~
1770817878.185070 input_key_build: 0x10e265 (F11) is \033[23~
1770817878.185071 input_key_build: 0x10e266 (F12) is \033[24~
1770817878.185073 input_key_build: 0x10e267 (IC) is \033[2~
1770817878.185074 input_key_build: 0x10e268 (DC) is \033[3~
1770817878.185076 input_key_build: 0x10e269 (Home) is \033[1~
1770817878.185077 input_key_build: 0x10e26a (End) is \033[4~
1770817878.185081 input_key_build: 0x10e26b (NPage) is \033[6~
1770817878.185083 input_key_build: 0x10e26c (PPage) is \033[5~
1770817878.185084 input_key_build: 0x10e26d (BTab) is \033[Z
1770817878.185086 input_key_build: 0x10e26e (Up) is \033[A
1770817878.185087 input_key_build: 0x10e26f (Down) is \033[B
1770817878.185089 input_key_build: 0x10e270 (Left) is \033[D
1770817878.185090 input_key_build: 0x10e271 (Right) is \033[C
1770817878.185092 input_key_build: 0x10e272 (KP/) is /
1770817878.185093 input_key_build: 0x10e273 (KP*) is *
1770817878.185095 input_key_build: 0x10e274 (KP-) is -
1770817878.185096 input_key_build: 0x10e275 (KP7) is 7
1770817878.185098 input_key_build: 0x10e276 (KP8) is 8
1770817878.185099 input_key_build: 0x10e277 (KP9) is 9
1770817878.185101 input_key_build: 0x10e278 (KP+) is +
1770817878.185102 input_key_build: 0x10e279 (KP4) is 4
1770817878.185104 input_key_build: 0x10e27a (KP5) is 5
1770817878.185105 input_key_build: 0x10e27b (KP6) is 6
1770817878.185106 input_key_build: 0x10e27c (KP1) is 1
1770817878.185108 input_key_build: 0x10e27d (KP2) is 2
1770817878.185109 input_key_build: 0x10e27e (KP3) is 3
1770817878.185111 input_key_build: 0x10e27f (KPEnter) is \n
1770817878.185112 input_key_build: 0x10e280 (KP0) is 0
1770817878.185114 input_key_build: 0x10e281 (KP.) is .
1770817878.185116 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1770817878.185118 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
